SITECODE,LCODE,VISIT,SDATE,FROMHOUR,FROMMINS,TOHOUR,TOMINS,CLOUD,RAIN,WIND,VISIBILITY
T07,04,E,03-May-10,9,16,10,32,3,1,2,1
T07,03,E,03-May-10,10,32,11,30,3,1,2,1
T03,01,E,09-May-10,6,20,7,45,1,1,2,1
T11,01,E,10-May-10,8,40,10,25,3,1,1,1
T09,01,E,13-May-10,6,25,8,0,1,1,1,1
T12,01,E,15-May-10,7,15,8,50,2,1,2,1
T04,02,E,16-May-10,13,0,14,25,2,1,1,1
T01,01,E,17-May-10,7,0,11,10,1,1,1,1
T02,01,E,20-May-10,6,45,9,0,1,1,2,1
T02,02,E,20-May-10,6,45,9,0,1,1,2,1
T02,03,E,25-May-10,7,45,9,0,1,1,3,1
T05,01,L,28-May-10,6,0,8,3,2,1,1,1
T04,01,L,10-Jun-10,12,0,13,35,3,1,3,2
T12,01,L,12-Jun-10,6,50,8,10,1,1,1,1
T01,01,L,14-Jun-10,7,0,10,40,3,3,2,1
T04,02,L,16-Jun-10,11,20,13,45,2,1,2,1
T04,03,L,17-Jun-10,11,20,14,15,3,1,2,1
T07,04,L,21-Jun-10,8,39,9,15,2,1,1,1
T07,01,L,21-Jun-10,11,0,12,9,1,1,1,1
T07,03,L,21-Jun-10,6,32,7,39,2,1,1,1
T02,02,L,21-Jun-10,7,40,10,0,3,1,2,2
T07,02,L,21-Jun-10,9,42,11,0,1,1,1,1
T02,01,L,21-Jun-10,7,40,10,0,3,1,2,2
T11,01,L,22-Jun-10,8,35,10,5,2,1,2,1
T02,03,L,24-Jun-10,8,0,9,45,1,1,2,1
T03,01,L,26-Jun-10,6,5,7,45,1,1,2,1
T09,01,L,30-Jun-10,6,0,7,40,2,1,1,1
T04,02,E,06-Apr-11,11,30,13,15,2,1,3,1
T04,01,E,06-Apr-11,14,25,15,30,2,1,3,1
T09,01,E,15-Apr-11,6,0,7,30,2,1,1,1
T04,03,E,18-Apr-11,13,55,15,0,3,1,2,1
T05,01,E,21-Apr-11,6,3,8,10,1,1,1,1
T06,01,E,05-May-11,8,0,9,5,2,0,0,5
T03,01,E,07-May-11,6,45,8,10,3,2,3,2
T12,01,E,07-May-11,7,30,9,2,3,1,3,1
T11,01,E,15-May-11,7,15,8,24,3,3,3,1
T04,01,L,24-May-11,13,15,13,45,1,1,3,1
T04,03,L,25-May-11,10,50,12,5,2,1,3,2
T05,01,L,27-May-11,6,5,7,50,,,,
T02,02,E,31-May-11,6,50,9,30,1,1,2,1
T02,01,E,31-May-11,6,50,9,30,1,1,2,1
T02,03,E,02-Jun-11,6,30,8,0,2,1,2,1
T11,01,L,10-Jun-11,6,55,8,30,2,1,1,1
T12,01,L,11-Jun-11,6,9,7,55,1,1,1,1
T03,01,L,19-Jun-11,6,20,7,40,3,1,2,1
T04,02,L,28-Jun-11,11,35,13,20,1,1,3,1
T02,02,L,30-Jun-11,6,45,8,15,2,1,2,1
T02,01,L,30-Jun-11,6,45,8,15,2,1,2,1
T09,01,L,30-Jun-11,6,30,8,0,1,1,1,1
T02,03,L,05-Jul-11,7,30,9,0,3,1,2,1
T09,01,E,19-Apr-12,6,15,7,50,3,3,1,1
T05,01,E,24-Apr-12,6,0,8,25,1,1,2,1
T04,02,E,25-Apr-12,11,20,12,55,3,1,3,1
T04,01,E,25-Apr-12,11,9,12,30,3,1,3,1
T12,01,E,06-May-12,6,58,8,34,2,1,1,1
T02,02,E,09-May-12,6,55,9,30,3,1,2,1
T02,01,E,09-May-12,8,20,9,40,3,1,2,1
T11,01,E,12-May-12,8,45,10,22,3,1,2,1
T02,03,E,14-May-12,8,30,9,30,3,1,3,1
T04,03,E,15-May-12,10,40,13,5,3,1,3,1
T09,01,L,25-May-12,6,0,7,20,3,1,1,1
T05,01,L,29-May-12,5,35,7,42,3,1,1,1
T12,01,L,02-Jun-12,6,10,7,34,3,1,1,1
T02,02,L,12-Jun-12,7,20,9,30,3,3,2,1
